trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,21.8591364,21.8591364,0.038772,"[-0.017592592592592594, -0.31296296296296294]","[-0.023148148148148147, -0.08518518518518518]","[1, 1]","[0, 0]","[0, 0]","[1.4853385998867452, 3.7153608999215066]",['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
1,0,1,0,5,25.5996159,25.5996159,0.029789,"[0.4777777777777778, 0.4935185185185185]","[-0.25925925925925924, -0.25925925925925924]","[1, 1]","[0, 0]","[0, 0]","[1.6709667998366058, 2.903585399966687]",['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
2,0,2,0,5,28.5201987,28.5201987,0.0171522,[0.18703703703703703],[-0.3611111111111111],[1],[0],[0],[1.8774580000899732],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
4,0,4,0,5,32.5195177,32.5195177,0.0200173,[-0.09259259259259259],[0.19814814814814816],[1],[0],[0],[2.23958019958809],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
13,0,13,0,5,50.9010601,50.9010601,0.0193347,[-0.014814814814814815],[0.0787037037037037],[1],[0],[0],[1.7754867998883128],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
14,0,14,0,5,52.7005815,52.7005815,0.0202893,[0.13425925925925927],[-0.25277777777777777],[1],[0],[0],[1.7565505998209119],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
18,0,18,0,5,60.6566502,60.6566502,0.0176584,[0.24814814814814815],[0.32407407407407407],[1],[0],[0],[1.1756523996591568],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
19,0,19,0,5,61.8575722,61.8575722,0.0209526,[-0.09537037037037037],[0.10277777777777777],[1],[0],[0],[1.3589159999974072],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
22,0,22,0,5,66.76201,66.76201,0.0280718,[0.11203703703703703],[-0.3148148148148148],[1],[0],[0],[1.9483304000459611],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
23,0,23,0,5,68.7487341,68.7487341,0.0204471,[0.04259259259259259],[0.06481481481481481],[1],[0],[0],[1.490710400044918],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
24,0,24,0,5,70.2703761,70.2703761,0.0314887,[0.262037037037037],[-0.2212962962962963],[1],[0],[0],[1.5911993999034166],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
25,0,25,0,5,71.8948599,71.8948599,0.0198555,[-0.4638888888888889],[0.3351851851851852],[1],[0],[0],[2.2095002001151443],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
27,0,27,0,5,77.2101038,77.2101038,0.0192699,[0.38981481481481484],[0.31574074074074077],[1],[0],[0],[2.290991000365466],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
32,0,32,0,5,86.8137901,86.8137901,0.0163574,[0.2388888888888889],[-0.008333333333333333],[1],[0],[0],[1.8290149001404643],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
36,0,36,0,5,94.1576696,94.1576696,0.0173748,[-0.37222222222222223],[0.3287037037037037],[1],[0],[0],[1.8095773002132773],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
38,0,38,0,5,98.4180978,98.4180978,0.0170706,[-0.41203703703703703],[-0.3333333333333333],[1],[0],[0],[1.4280380997806787],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
41,0,41,0,5,103.3981384,103.3981384,0.0173373,[-0.11574074074074074],[-0.09351851851851851],[1],[0],[0],[1.4289446002803743],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
43,0,43,0,5,109.2291809,109.2291809,0.0161029,[0.1925925925925926],[0.2962962962962963],[1],[0],[0],[1.3282965999096632],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
53,0,53,0,5,124.6780388,124.6780388,0.0174247,[-0.30648148148148147],[-0.14537037037037037],[1],[0],[0],[1.2940973998047411],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
54,0,54,0,5,126.0141049,126.0141049,0.0296974,[-0.4537037037037037],[-0.1388888888888889],[1],[0],[0],[1.4968054997734725],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
55,0,55,0,5,127.5506291,127.5506291,0.0333839,[-0.1425925925925926],[0.4740740740740741],[1],[0],[0],[1.8562242002226412],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
58,0,58,0,5,132.8530837,132.8530837,0.0168845,[-0.30833333333333335],[0.28055555555555556],[1],[0],[0],[1.3784846998751163],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
60,0,60,0,5,135.9826687,135.9826687,0.016305,[0.39166666666666666],[-0.4074074074074074],[1],[0],[0],[1.6116783004254103],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
63,0,63,0,5,142.0193526,142.0193526,0.0208349,[-0.21851851851851853],[0.19074074074074074],[1],[0],[0],[1.3398525998927653],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
64,0,64,0,5,143.3794157,143.3794157,0.0185596,[0.014814814814814815],[-0.46574074074074073],[1],[0],[0],[1.5592626999132335],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
65,0,65,0,5,144.9768279,144.9768279,0.0204055,[0.26944444444444443],[0.3814814814814815],[1],[0],[0],[1.5750775001943111],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
