Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,num_distr,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,19.79119640000863,19.79119640000863,0.03911129999323748,[0.3385416666666667],[-0.13932291666666666],[1],[0],[0],[4.024249799986137],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
1,0,1,0,5,23.825810200010892,23.825810200010892,0.014069700002437457,[0.3385416666666667],[-0.46875],[1],[0],[0],[1.4165803999931086],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
2,0,2,0,10,25.27590560002136,25.27590560002136,0.027021000016247854,"[-0.4427083333333333, -0.41796875]","[0.055989583333333336, 0.052083333333333336]","[1, 1]","[0, 0]","[0, 0]","[1.785200000012992, 2.6021081000217237]",['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
3,0,3,0,10,27.906964800000424,27.906964800000424,0.026484500005608425,[0.41015625],[-0.05078125],[1],[0],[0],[1.3701199000061024],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
4,0,4,0,10,29.306784000014886,29.306784000014886,0.026238100021146238,[-0.4361979166666667],[0.4283854166666667],[1],[0],[0],[1.6717119000095408],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
5,0,5,0,5,30.991416700009722,30.991416700009722,0.013379999989410862,[0.41015625],[-0.3567708333333333],[1],[0],[0],[1.8173549000057392],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
6,0,6,0,10,32.84238820002065,32.84238820002065,0.02698609998333268,[0.05859375],[-0.35546875],[1],[0],[0],[1.2180719999887515],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
7,0,7,0,5,34.07426120000309,34.07426120000309,0.013795599981676787,[-0.3450520833333333],[-0.3046875],[1],[0],[0],[1.7165775000175927],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
8,0,8,0,10,35.82518970000092,35.82518970000092,0.027709999994840473,[-0.14973958333333334],[0.33984375],[1],[0],[0],[1.320358800003305],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
9,0,9,0,5,37.158682300010696,37.158682300010696,0.013979799987282604,[-0.4401041666666667],[0.4830729166666667],[1],[0],[0],[2.3491805999947246],['Target'],375257,001,2023-09-15_12h01.56.380,Visual Search Experiment,2023.1.3,59.77854440571351,
