trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,21.93623919899983,21.93623919899983,0.060847846994875,-0.012222222222222223,-0.45111111111111113,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
1,0,1,0,5,25.60803615899931,25.60803615899931,0.02443225799652282,0.2677777777777778,0.3711111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
2,0,2,0,10,27.245405698995455,27.245405698995455,0.04900298199936515,0.051111111111111114,-0.4677777777777778,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
3,0,3,0,5,28.73224208299507,28.73224208299507,0.024307483996381052,-0.5144444444444445,-0.40444444444444444,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
4,0,4,0,5,30.377527904995077,30.377527904995077,0.025626570997701492,0.23222222222222222,0.38,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
5,0,5,0,5,31.865978461995837,31.865978461995837,0.02515801900153747,-0.5066666666666667,0.23222222222222222,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
6,0,6,0,10,33.08282070700079,33.08282070700079,0.049588524001592305,-0.45,-0.31222222222222223,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
7,0,7,0,10,34.99286734699854,34.99286734699854,0.05027510999934748,0.13,0.2511111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
8,0,8,0,10,36.52308491800068,36.52308491800068,0.047096613998292014,-0.47555555555555556,-0.31666666666666665,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
9,0,9,0,5,38.166091196995694,38.166091196995694,0.025515200999507215,0.4688888888888889,-0.1811111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
