trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,9.1185363,9.1185363,0.0236544,[0.19444444444444445],[-0.45694444444444443],[1],[0],[0],[1.7283398000000716],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
1,0,1,0,5,10.8506154,10.8506154,0.0123724,[-0.08472222222222223],[0.24027777777777778],[1],[0],[0],[1.597350600000027],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
2,0,2,0,10,12.483245,12.483245,0.020872,[0.39861111111111114],[-0.37222222222222223],[1],[0],[0],[1.6089640999999801],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
3,0,3,0,10,14.1165103,14.1165103,0.0233315,[0.4027777777777778],[0.009722222222222222],[1],[0],[0],[1.523669199999972],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
4,0,4,0,10,15.6655807,15.6655807,0.0234744,[-0.12083333333333333],[0.4875],[1],[0],[0],[2.2078603999999586],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
5,0,5,0,5,17.8814693,17.8814693,0.0120453,[0.2847222222222222],[0.08888888888888889],[1],[0],[0],[1.3347916000000168],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
6,0,6,0,5,19.2309488,19.2309488,0.012637,[0.2972222222222222],[0.3333333333333333],[1],[0],[0],[1.167799500000001],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
7,0,7,0,5,20.4144362,20.4144362,0.0117758,[-0.24583333333333332],[0.37777777777777777],[1],[0],[0],[1.0685167999999976],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
8,0,8,0,10,21.5134136,21.5134136,0.0218514,[0.2625],[0.1875],[1],[0],[0],[1.0072592000000213],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
9,0,9,0,10,22.5468795,22.5468795,0.0223507,[-0.49583333333333335],[-0.12638888888888888],[1],[0],[0],[1.357730800000013],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
10,0,10,0,10,23.9128541,23.9128541,0.0183642,[-0.3638888888888889],[-0.4777777777777778],[1],[0],[0],[3.143362699999898],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
11,0,11,0,10,27.0949934,27.0949934,0.0238409,[-0.31527777777777777],[0.16527777777777777],[1],[0],[0],[1.2408040999999912],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
12,0,12,0,10,28.3618453,28.3618453,0.02185,[-0.23194444444444445],[0.059722222222222225],[1],[0],[0],[1.0081149000000096],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
13,0,13,0,5,29.377481,29.377481,0.0106914,[0.32083333333333336],[0.45555555555555555],[1],[0],[0],[2.052630600000043],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
14,0,14,0,10,31.4606736,31.4606736,0.0228419,[0.2388888888888889],[-0.25555555555555554],[1],[0],[0],[1.324609799999962],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
15,0,15,0,5,32.7954025,32.7954025,0.0119112,[0.18055555555555555],[0.3055555555555556],[1],[0],[0],[1.2185426999999436],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
16,0,16,0,5,34.0258303,34.0258303,0.0116704,[-0.17222222222222222],[-0.39861111111111114],[1],[0],[0],[1.1698512000000392],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
17,0,17,0,5,35.2092022,35.2092022,0.0099245,[-0.3263888888888889],[-0.29444444444444445],[1],[0],[0],[1.0541098999999576],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
18,0,18,0,10,36.3422826,36.3422826,0.0752474,[0.22916666666666666],[0.011111111111111112],[1],[0],[0],[1.4368786],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
19,0,19,0,5,37.7939798,37.7939798,0.0104177,[-0.09305555555555556],[0.24166666666666667],[1],[0],[0],[1.4208618000000115],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
20,0,20,0,5,39.2243672,39.2243672,0.0128534,[0.3819444444444444],[0.027777777777777776],[1],[0],[0],[1.315355199999999],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
