trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
1,0,1,0,5,10.8506154,10.8506154,0.0123724,[-0.08472222222222223],[0.24027777777777778],[1],[0],[0],[1.597350600000027],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
5,0,5,0,5,17.8814693,17.8814693,0.0120453,[0.2847222222222222],[0.08888888888888889],[1],[0],[0],[1.3347916000000168],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
6,0,6,0,5,19.2309488,19.2309488,0.012637,[0.2972222222222222],[0.3333333333333333],[1],[0],[0],[1.167799500000001],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
7,0,7,0,5,20.4144362,20.4144362,0.0117758,[-0.24583333333333332],[0.37777777777777777],[1],[0],[0],[1.0685167999999976],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
13,0,13,0,5,29.377481,29.377481,0.0106914,[0.32083333333333336],[0.45555555555555555],[1],[0],[0],[2.052630600000043],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
15,0,15,0,5,32.7954025,32.7954025,0.0119112,[0.18055555555555555],[0.3055555555555556],[1],[0],[0],[1.2185426999999436],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
16,0,16,0,5,34.0258303,34.0258303,0.0116704,[-0.17222222222222222],[-0.39861111111111114],[1],[0],[0],[1.1698512000000392],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
17,0,17,0,5,35.2092022,35.2092022,0.0099245,[-0.3263888888888889],[-0.29444444444444445],[1],[0],[0],[1.0541098999999576],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
19,0,19,0,5,37.7939798,37.7939798,0.0104177,[-0.09305555555555556],[0.24166666666666667],[1],[0],[0],[1.4208618000000115],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
20,0,20,0,5,39.2243672,39.2243672,0.0128534,[0.3819444444444444],[0.027777777777777776],[1],[0],[0],[1.315355199999999],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
21,0,21,0,5,40.5601904,40.5601904,0.0143729,[0.42083333333333334],[0.29444444444444445],[1],[0],[0],[1.2815282999999908],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
23,0,23,0,5,44.3725257,44.3725257,0.0117716,[-0.2111111111111111],[-0.35833333333333334],[1],[0],[0],[0.9687262999999575],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
24,0,24,0,5,45.3553301,45.3553301,0.0109422,[-0.06527777777777778],[-0.15138888888888888],[1],[0],[0],[1.3197705999999698],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
26,0,26,0,5,47.9047445,47.9047445,0.0104339,[-0.12777777777777777],[0.2375],[1],[0],[0],[1.1849642000000813],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
27,0,27,0,5,49.1041712,49.1041712,0.0118546,[-0.3972222222222222],[0.43333333333333335],[1],[0],[0],[1.0529758999999785],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
29,0,29,0,5,52.3198314,52.3198314,0.0120797,[0.39444444444444443],[-0.42916666666666664],[1],[0],[0],[1.2513761999999815],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
30,0,30,0,5,53.5860136,53.5860136,0.0114427,[-0.4513888888888889],[-0.26805555555555555],[1],[0],[0],[1.1347954999999956],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
31,0,31,0,5,54.7356476,54.7356476,0.010693,[-0.12638888888888888],[-0.3],[1],[0],[0],[0.90414880000003],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
32,0,32,0,5,55.6522673,55.6522673,0.0110984,[0.3194444444444444],[0.4361111111111111],[1],[0],[0],[1.4014406000000008],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
33,0,33,0,5,57.068591,57.068591,0.0110761,[-0.49166666666666664],[-0.09444444444444444],[1],[0],[0],[1.0362686999999369],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
35,0,35,0,5,59.3011833,59.3011833,0.012855,[0.1625],[-0.3527777777777778],[1],[0],[0],[1.3183890000000247],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
